Invoice Number,Issue Date,Total Amount,Vendor
INV0000000127,"Sep 15, 2015",480.00,Sample Company Inc.
786594063079,"01 Apr, 2019",81.76,ShipWorks Webinar
DEL5-2187145,25.08.2019,"₹21,490.00",Appario Retail Private Ltd
HHGJGJJHG,1-Apr-2008,"37,440.00",SHRI KRISHNA MOTORS
14,2018-09-25,"$2,608.20",Turnpike Designs Co.
RSN/18-19/14126,9-Mar-2019,"76,900.00",RECORD SHOPPEE
4444 AB123,2010/09/15,"1,800.00","company selling Goods to Canada, 125 Street, City, State, 12121, USA"
USMF-000003,10-18-2022,"1,380.00",Contoso Entertainment System USA
19-2038,6/10/2019,950.00,SOLAR ELECTRIC VEHICLE SYSTEMS
US-001,11/02/2019,154.06,East Repair Inc.
1600390,2016-08-27,14.60 GBP,Johny Seller
#982093,20 AUGUST 2020,$ 2112.25,COMPANY DESIGNS
INT-001,11/02/2019,$204.75,John Smith
1009624,04/01/2020,"$1,431.27",TimelyBill
B1674,02.07.02,125 EUR,The Studio Graphics
14841,NULL,4210.46,VISION MOTORS PRIVATE LIMITED
1033810,12/30/14,46.86,"MADISON DISTRIBUTORS, INC."
76552,12/11/2016,"53,000.00",NULL
2491839,24/06/2019,"$2,255.00",AA Associates
NULL,NULL,$198.40,"Tesla Motors, Inc."
#INV2081,11/11/18,"$2,844.80",Stanford Plumbing & Heating
34567,04 Jul 2022,19860.00,ABC Exports
0000002,1/01/2008,$278.30,Accurate Expressions
51580,06/20/2018,1357.02,LYLAC Inc.
RathM-1617-00111,14/07/2016,"708,994.00",RATHOD MOTORS
1,4-Apr-20,52510.00,Max Enterprises
1,1-Apr-2008,"1,976.00",SHRI KRISHNA MOTORS
42,"07-06-2021, 14:00",$37.30,My Cool Store
00020,01-08-2017,"£3,696.00",AXLSolutions Ltd
123456,2015/05/07,24.00,MCA Est. Corp.
NULL,2018/08/21,76.48,Poon
INV-17,08/02/2020,662.75,Zylker
US-001,11/02/2019,$154.06,East Repair Inc.
0000376,01-Apr-19,465.67 GBP,Findem Ltd
INV-000099,21/01/2021,362.88,Dangerous Toys R Us Ltd
CT0001,1-1-2021,"₹14,880.00",Defmacro Software Pvt. Ltd
NULL,2017/09/13,30.00,Wayne Enterprises
X4383 – 03,14-Sep-21,"5,220.00",Austen Tech Pty Ltd
336678888888,8/07/202X,NULL,ELECTRONICA CENTRE
0047,"January 13, 2015",$776.31,Shopify Hardware Store
190,1/28/2005,"$23,497.60","AweFence, Inc."
ATAJLP001,22 JUNE 2022,$4.00,GANDULES
205,11/03/93,280832.00,"Segmented Marketing Services, Inc."
INV/MNSG/17/110435,20-Nov-2017,"44,780.00",MICRODYN-NADIR SINGAPORE PTE LTD
US-001,11/02/2019,$154.06,East Repair Inc.
00000004,1/01/2008,"$1,100.00",Sample Company Pty Ltd
249,24th June 2020,$18.00,EStore
090001,9/24/2021,"$3,610.00",Northern Star Design Studio
000562,11/05/2020,"$12,512.00",Globex Corporation
A08029191212A017,Dec 12 2019,530.10,Balaji Infocom
1064,"April 14, 2011",125.09,Valdosta Lowndes County Industrial Authority
CLR 000009,23/04/2017,"Rs.12,334.89",Vijaya Traders Private Limited
US-001,11/02/2019,$154.06,East Repair Inc.
2111111111,Nov 1 2021,"1,433.53",LUMEN
ABC-DEF-GB-2018-XXXXXXXX,05.04.2018,£564.00,"Amazon EU S.à.r.l., UK Branch"
885,19/02/2018,"96,415.00",SAMARJEET AUTO
BT-1638,03JAN02,"USD 309,400","Baking Technologies, Inc."
F7HMK20002,25-09-2017,5391,Sane Retails Pvt Ltd
52148,01/02/2020,$220.00,NULL
1129705,18-Sep-2014,"136,320.00",Varco B.J B.V.
